vorname;anzahl;geschlecht;position
Noah;43;m;1
Anton;35;m;1
Emil;35;m;1
Felix;30;m;1
Jakob;27;m;1
Maximilian;27;m;1
Jonas;25;m;1
Theodor;25;m;1
Jonathan;24;m;1
Julian;23;m;1
Paul;23;m;1
Adam;22;m;1
Elias;22;m;1
Leonard;22;m;1
Henry;21;m;1
Liam;21;m;1
Julius;20;m;1
Louis;20;m;1
Oskar;20;m;1
Theo;20;m;1
Alexander;19;m;1
Ben;18;m;1
Luca;18;m;1
Finn;17;m;1
Leon;17;m;1
Arthur;16;m;1
David;16;m;1
Leo;16;m;1
Moritz;16;m;1
Levi;15;m;1
Linus;15;m;1
Fritz;14;m;1
Luis;14;m;1
Lukas;14;m;1
Tim;14;m;1
Vincent;14;m;1
Adrian;13;m;1
Bruno;13;m;1
Carl;13;m;1
Gabriel;13;m;1
Karl;13;m;1
Max;13;m;1
Milan;13;m;1
Valentin;13;m;1
Benjamin;12;m;1
Henri;12;m;1
Malik;12;m;1
Mats;12;m;1
Friedrich;11;m;1
Ilyas;11;m;1
Johann;11;m;1
Joshua;11;m;1
Matteo;11;m;1
Raphael;11;m;1
Florian;10;m;1
Leonardo;10;m;1
Daniel;9;m;1
Frederik;9;m;1
Jan;9;m;1
Matheo;9;m;1
Mika;9;m;1
Samuel;9;m;1
Tom;9;m;1
Amir;8;m;1
Caspar;8;m;1
Enno;8;m;1
Erik;8;m;1
Hamza;8;m;1
Hugo;8;m;1
Jonah;8;m;1
Justus;8;m;1
Kian;8;m;1
Konstantin;8;m;1
Malte;8;m;1
Maxim;8;m;1
Omar;8;m;1
Tobias;8;m;1
Jannis;7;m;1
Lucas;7;m;1
Oliver;7;m;1
Oscar;7;m;1
Philipp;7;m;1
Simon;7;m;1
William;7;m;1
Ali;6;m;1
Constantin;6;m;1
Dominik;6;m;1
Emilio;6;m;1
Emir;6;m;1
Ferdinand;6;m;1
Jannes;6;m;1
Kilian;6;m;1
Leopold;6;m;1
Levin;6;m;1
Lio;6;m;1
Luka;6;m;1
Mateo;6;m;1
Mattis;6;m;1
Mio;6;m;1
Miran;6;m;1
Nathan;6;m;1
Nick;6;m;1
Nicolas;6;m;1
Niklas;6;m;1
Aaron;5;m;1
Adem;5;m;1
August;5;m;1
Bennet;5;m;1
Edgar;5;m;1
Elyas;5;m;1
Gustav;5;m;1
Jason;5;m;1
Johan;5;m;1
Johannes;5;m;1
Joris;5;m;1
Kaan;5;m;1
Lennard;5;m;1
Lennart;5;m;1
Mohamad;5;m;1
Mohammad;5;m;1
Neo;5;m;1
Nils;5;m;1
Piet;5;m;1
Sami;5;m;1
Till;5;m;1
Tristan;5;m;1
Ömer;5;m;1
Ahmad;4;m;1
Albert;4;m;1
Alfred;4;m;1
Artur;4;m;1
Arvid;4;m;1
Bilal;4;m;1
Can;4;m;1
Conrad;4;m;1
Emilian;4;m;1
Eren;4;m;1
Eymen;4;m;1
Franz;4;m;1
Georg;4;m;1
Hussein;4;m;1
Jacob;4;m;1
James;4;m;1
Jona;4;m;1
Julien;4;m;1
Juri;4;m;1
Karim;4;m;1
Laith;4;m;1
Leonas;4;m;1
Lian;4;m;1
Lionel;4;m;1
Magnus;4;m;1
Marlon;4;m;1
Mehmet;4;m;1
Milo;4;m;1
Muhammad;4;m;1
Muhammed;4;m;1
Nikita;4;m;1
Ole;4;m;1
Pepe;4;m;1
Rayan;4;m;1
Richard;4;m;1
Robin;4;m;1
Salih;4;m;1
Thiago;4;m;1
Viktor;4;m;1
Yasin;4;m;1
Yunis;4;m;1
Yunus;4;m;1
Alan;3;m;1
Andreas;3;m;1
Arel;3;m;1
Armin;3;m;1
Aslan;3;m;1
Azad;3;m;1
Aziz;3;m;1
Baran;3;m;1
Bastian;3;m;1
Batuhan;3;m;1
