vorname;anzahl;geschlecht;position
Ali;21;m;1
Elias;19;m;1
Adam;18;m;1
Paul;17;m;1
Leon;16;m;1
Liam;16;m;1
Louis;15;m;1
Noah;15;m;1
Anton;13;m;1
Ben;13;m;1
Luca;13;m;1
Amir;12;m;1
Felix;12;m;1
Moritz;12;m;1
Theo;12;m;1
Ömer;12;m;1
David;11;m;1
Jakob;11;m;1
Jonas;11;m;1
Karl;11;m;1
Lukas;11;m;1
Maximilian;11;m;1
Milan;11;m;1
Emil;10;m;1
Emir;10;m;1
Omar;10;m;1
Jonathan;9;m;1
Oskar;9;m;1
Daniel;8;m;1
Henry;8;m;1
Mert;8;m;1
Mohamad;8;m;1
Mohammad;8;m;1
Yusuf;8;m;1
Alexander;7;m;1
Bruno;7;m;1
Erik;7;m;1
Ibrahim;7;m;1
Ilyas;7;m;1
Julian;7;m;1
Lucas;7;m;1
Niklas;7;m;1
Tom;7;m;1
Yasin;7;m;1
Emre;6;m;1
Finn;6;m;1
Hamza;6;m;1
Hussein;6;m;1
Levi;6;m;1
Mahmoud;6;m;1
Max;6;m;1
Mika;6;m;1
Muhammed;6;m;1
Ole;6;m;1
Valentin;6;m;1
Benjamin;5;m;1
Bilal;5;m;1
Jan;5;m;1
Joel;5;m;1
Joshua;5;m;1
Julius;5;m;1
Kaan;5;m;1
Khaled;5;m;1
Kilian;5;m;1
Leonard;5;m;1
Mustafa;5;m;1
Samuel;5;m;1
Toni;5;m;1
Yiğit;5;m;1
Aaron;4;m;1
Adrian;4;m;1
Ahmad;4;m;1
Arian;4;m;1
Edgar;4;m;1
Emilio;4;m;1
Enes;4;m;1
Eymen;4;m;1
Gabriel;4;m;1
Issa;4;m;1
Karim;4;m;1
Lennard;4;m;1
Lenny;4;m;1
Lian;4;m;1
Luan;4;m;1
Luis;4;m;1
Malek;4;m;1
Malik;4;m;1
Mateo;4;m;1
Matteo;4;m;1
Mattis;4;m;1
Maxim;4;m;1
Mio;4;m;1
Miran;4;m;1
Mohamed;4;m;1
Musa;4;m;1
Nicolas;4;m;1
Philipp;4;m;1
Theodor;4;m;1
Thore;4;m;1
Tim;4;m;1
Tobias;4;m;1
Younes;4;m;1
Abdullah;3;m;1
Andrei;3;m;1
Arthur;3;m;1
Baran;3;m;1
Berat;3;m;1
Can;3;m;1
Damian;3;m;1
Hadi;3;m;1
Hannes;3;m;1
Hasan;3;m;1
Henri;3;m;1
Jannis;3;m;1
Jawad;3;m;1
Jayden;3;m;1
Lasse;3;m;1
Lennart;3;m;1
Lennox;3;m;1
Leo;3;m;1
Lino;3;m;1
Linus;3;m;1
Luke;3;m;1
Marlon;3;m;1
Matei;3;m;1
Milo;3;m;1
Muhammad;3;m;1
Nico;3;m;1
Oscar;3;m;1
Phil;3;m;1
Raphael;3;m;1
Ronaldo;3;m;1
Talha;3;m;1
Timo;3;m;1
Tony;3;m;1
Umut;3;m;1
Çınar;3;m;1
Adar;2;m;1
Adnan;2;m;1
Ahmed;2;m;1
Albert;2;m;1
Alessio;2;m;1
Alfred;2;m;1
Almir;2;m;1
Alperen;2;m;1
Andreas;2;m;1
Anthony;2;m;1
Arda;2;m;1
Artur;2;m;1
Aslan;2;m;1
Aurelio;2;m;1
Azad;2;m;1
Bekir;2;m;1
Berzan;2;m;1
Cem;2;m;1
Cesur;2;m;1
Christian;2;m;1
Danny;2;m;1
Darian;2;m;1
Deniz;2;m;1
Dewran;2;m;1
Eddy;2;m;1
Ediz;2;m;1
Efe;2;m;1
Elian;2;m;1
Elyas;2;m;1
Emanuel;2;m;1
Ennis;2;m;1
Ensar;2;m;1
Eray;2;m;1
Eren;2;m;1
Ertuğrul;2;m;1
Eyüp;2;m;1
Ferdinand;2;m;1
Fiete;2;m;1
Fynn;2;m;1
Gustav;2;m;1
Hamsa;2;m;1
Hassan;2;m;1
Ilias;2;m;1
Ioannis;2;m;1
Ismail;2;m;1
Jakub;2;m;1
Jamal;2;m;1
Jamie;2;m;1
Jannes;2;m;1
Jari;2;m;1
Jaron;2;m;1
Jeremy;2;m;1
Jerome;2;m;1
Johannes;2;m;1
John;2;m;1
Jona;2;m;1
Jonah;2;m;1
Junis;2;m;1
Justin;2;m;1
Justus;2;m;1
Kai;2;m;1
Kalle;2;m;1
Kenan;2;m;1
Kerem;2;m;1
Kerim;2;m;1
Kevin;2;m;1
Khalil;2;m;1
Kian;2;m;1
Konstantin;2;m;1
Kuzey;2;m;1
Leander;2;m;1
Ledion;2;m;1
Leonardo;2;m;1
Lio;2;m;1
Lion;2;m;1
Lorik;2;m;1
Ludwig;2;m;1
Luiz;2;m;1
Mahir;2;m;1
Malique;2;m;1
Marc;2;m;1
Marcel;2;m;1
Marius;2;m;1
Mats;2;m;1
Maurice;2;m;1
Mehmet;2;m;1
Merlin;2;m;1
Mete;2;m;1
Michael;2;m;1
Miraç;2;m;1
Miron;2;m;1
Mounir;2;m;1
Mousa;2;m;1
Muhamed;2;m;1
Murat;2;m;1
Nathaniel;2;m;1
Nelio;2;m;1
Neo;2;m;1
Nils;2;m;1
Oday;2;m;1
Oliver;2;m;1
Otto;2;m;1
Pepe;2;m;1
Peter;2;m;1
Poyraz;2;m;1
Rafael;2;m;1
Robin;2;m;1
Rocco;2;m;1
Sami;2;m;1
Selim;2;m;1
Silas;2;m;1
Sıraç;2;m;1
Taha;2;m;1
Tuğra;2;m;1
Umar;2;m;1
Vince;2;m;1
Vincent;2;m;1
Vito;2;m;1
Wilhelm;2;m;1
Yakub;2;m;1
Yannick;2;m;1
Yazan;2;m;1
Yunus;2;m;1
Aamer;1;m;1
Aayan;1;m;1
Abass;1;m;1
Abbas;1;m;1
Abdalhadi;1;m;1
Abdifatah;1;m;1
Abdu;1;m;1
Abdul;1;m;1
Abdulkadir;1;m;1
Abdulla;1;m;1
Abdurahman;1;m;1
Abdurrahman;1;m;1
Abdülkadir;1;m;1
Abed;1;m;1
Abolfazl;1;m;1
Abu;1;m;1
Adem;1;m;1
Adith;1;m;1
Adrien;1;m;1
Adrijan;1;m;1
Ahmet;1;m;1
Ahmetcan;1;m;1
Alassan;1;m;1
Alaz;1;m;1
Aleksandar;1;m;1
Alessijo;1;m;1
Alessio-Milan;1;m;1
Alexis;1;m;1
Alois;1;m;1
Alparslan;1;m;1
Alpaslan;1;m;1
Alpay;1;m;1
Altin;1;m;1
