vorname;anzahl;geschlecht;position
Noah;37;m;1
Jonas;34;m;1
Emil;30;m;1
Felix;28;m;1
Ali;26;m;1
Jakob;26;m;1
Maximilian;26;m;1
Elias;25;m;1
Oskar;25;m;1
Milan;24;m;1
Paul;24;m;1
Adam;22;m;1
Samuel;22;m;1
Finn;20;m;1
Jonathan;20;m;1
Julian;20;m;1
Alexander;19;m;1
Theodor;18;m;1
Benjamin;17;m;1
Karl;17;m;1
Leo;17;m;1
Leon;17;m;1
Linus;17;m;1
Luis;17;m;1
Theo;17;m;1
Anton;16;m;1
Leonard;16;m;1
Vincent;16;m;1
Adrian;15;m;1
Ben;15;m;1
Henry;15;m;1
Moritz;15;m;1
Muhammed;15;m;1
Arthur;14;m;1
Bruno;14;m;1
Jan;14;m;1
Louis;14;m;1
Emilio;13;m;1
Justus;13;m;1
Niklas;13;m;1
Raphael;13;m;1
Tom;13;m;1
Amir;12;m;1
Daniel;12;m;1
David;12;m;1
Emir;12;m;1
Fabian;12;m;1
Henri;12;m;1
Levi;12;m;1
Liam;12;m;1
Luca;12;m;1
Mert;12;m;1
Erik;11;m;1
Johann;11;m;1
Konstantin;11;m;1
Omar;11;m;1
Tim;11;m;1
Ahmad;10;m;1
Joshua;10;m;1
Luka;10;m;1
Mika;10;m;1
Milo;10;m;1
Ole;10;m;1
Oscar;10;m;1
Florian;9;m;1
Friedrich;9;m;1
Hugo;9;m;1
Jonah;9;m;1
Julius;9;m;1
Leonardo;9;m;1
Lukas;9;m;1
Matteo;9;m;1
Max;9;m;1
Philipp;9;m;1
Ömer;9;m;1
Bennet;8;m;1
Carl;8;m;1
Enno;8;m;1
Filip;8;m;1
Fritz;8;m;1
Gabriel;8;m;1
Hamza;8;m;1
Lasse;8;m;1
Malik;8;m;1
Mikail;8;m;1
Mohammad;8;m;1
Mohammed;8;m;1
Rafael;8;m;1
Valentin;8;m;1
Yusuf;8;m;1
Artur;7;m;1
Caspar;7;m;1
Constantin;7;m;1
Janosch;7;m;1
Jasper;7;m;1
Leopold;7;m;1
Mattis;7;m;1
Miran;7;m;1
Mohamad;7;m;1
Robin;7;m;1
Simon;7;m;1
Bilal;6;m;1
Hüseyin;6;m;1
Ilyas;6;m;1
Junis;6;m;1
Karim;6;m;1
Kasimir;6;m;1
Kenan;6;m;1
Kian;6;m;1
Lian;6;m;1
Lucas;6;m;1
Mark;6;m;1
Marlon;6;m;1
Mats;6;m;1
Michael;6;m;1
Muhammad;6;m;1
Nils;6;m;1
Piet;6;m;1
Yasin;6;m;1
Yassin;6;m;1
Yiğit;6;m;1
Aaron;5;m;1
Ahmed;5;m;1
Burak;5;m;1
Elian;5;m;1
Emilian;5;m;1
Eymen;5;m;1
Ferdinand;5;m;1
Fynn;5;m;1
Hussein;5;m;1
Ibrahim;5;m;1
Jannis;5;m;1
Johannes;5;m;1
Jona;5;m;1
Kerem;5;m;1
Khaled;5;m;1
Kilian;5;m;1
Luke;5;m;1
Mahdi;5;m;1
Mateo;5;m;1
Matti;5;m;1
Mehmet;5;m;1
Mustafa;5;m;1
Sam;5;m;1
Timo;5;m;1
Toni;5;m;1
Alessio;4;m;1
Alperen;4;m;1
Amar;4;m;1
Antonio;4;m;1
Aras;4;m;1
August;4;m;1
Benno;4;m;1
Carlos;4;m;1
Charles;4;m;1
Damian;4;m;1
Diego;4;m;1
Elyas;4;m;1
Emin;4;m;1
Gustav;4;m;1
Hadi;4;m;1
Hasan;4;m;1
Hassan;4;m;1
Ilay;4;m;1
Joel;4;m;1
John;4;m;1
Joseph;4;m;1
Juri;4;m;1
Kiyan;4;m;1
Leander;4;m;1
Mads;4;m;1
Mahir;4;m;1
Mahmoud;4;m;1
Marcel;4;m;1
Marvin;4;m;1
Maxim;4;m;1
Mio;4;m;1
Mohamed;4;m;1
Nathan;4;m;1
Nicolas;4;m;1
Philip;4;m;1
Richard;4;m;1
Robert;4;m;1
Said;4;m;1
Santiago;4;m;1
Taim;4;m;1
Tristan;4;m;1
Yunis;4;m;1
Yunus;4;m;1
Ahmet;3;m;1
Aiden;3;m;1
Alan;3;m;1
Alex;3;m;1
Amaru;3;m;1
Anselm;3;m;1
Armin;3;m;1
Ayman;3;m;1
Bjarne;3;m;1
Béla;3;m;1
Christian;3;m;1
Edgar;3;m;1
Edin;3;m;1
Efe;3;m;1
Eli;3;m;1
Eren;3;m;1
Eric;3;m;1
Fadel;3;m;1
Fiete;3;m;1
Frederik;3;m;1
Hans;3;m;1
Hector;3;m;1
Hendrik;3;m;1
İlyas;3;m;1
Ioannis;3;m;1
Isa;3;m;1
Issa;3;m;1
Jad;3;m;1
Jaden;3;m;1
Jakub;3;m;1
Jannick;3;m;1
Jaro;3;m;1
Jaron;3;m;1
Jim;3;m;1
Jonte;3;m;1
Joris;3;m;1
Jovan;3;m;1
Kaan;3;m;1
Kai;3;m;1
Lazar;3;m;1
Lennart;3;m;1
Lev;3;m;1
Lino;3;m;1
Lionel;3;m;1
Lovis;3;m;1
Luan;3;m;1
Magnus;3;m;1
Martin;3;m;1
Matei;3;m;1
Matheo;3;m;1
Matthias;3;m;1
Maurice;3;m;1
Maxime;3;m;1
Merdan;3;m;1
Muhamed;3;m;1
Nikita;3;m;1
Nikolaus;3;m;1
Nio;3;m;1
Oliver;3;m;1
Ragnar;3;m;1
Rayan;3;m;1
Rocco;3;m;1
Ruben;3;m;1
