vorname;anzahl;geschlecht;position
Leon;13;m;1
Emil;12;m;1
Felix;12;m;1
Noah;11;m;1
Oskar;11;m;1
Anton;10;m;1
Ben;10;m;1
Jonas;10;m;1
Max;10;m;1
Maximilian;10;m;1
Leo;9;m;1
Moritz;9;m;1
Finn;8;m;1
Julian;8;m;1
Linus;8;m;1
Louis;8;m;1
Theodor;8;m;1
Elias;7;m;1
Karl;7;m;1
Lukas;7;m;1
Paul;7;m;1
Friedrich;6;m;1
Luca;6;m;1
Oliver;6;m;1
Florian;5;m;1
Jakob;5;m;1
Johann;5;m;1
Jonathan;5;m;1
Julius;5;m;1
Justus;5;m;1
Liam;5;m;1
Malte;5;m;1
Ole;5;m;1
Pepe;5;m;1
Arthur;4;m;1
Benjamin;4;m;1
Eric;4;m;1
Fabian;4;m;1
Frederik;4;m;1
John;4;m;1
Konstantin;4;m;1
Luis;4;m;1
Matteo;4;m;1
Mika;4;m;1
Richard;4;m;1
Samuel;4;m;1
Tim;4;m;1
Valentin;4;m;1
Vincent;4;m;1
Adam;3;m;1
Benedikt;3;m;1
Daniel;3;m;1
Dean;3;m;1
Edgar;3;m;1
Emilio;3;m;1
Emir;3;m;1
Enno;3;m;1
Erik;3;m;1
Fritz;3;m;1
Fynn;3;m;1
Gustav;3;m;1
Henri;3;m;1
Henry;3;m;1
Jan;3;m;1
Jayden;3;m;1
Kilian;3;m;1
Levi;3;m;1
Lucas;3;m;1
Ludwig;3;m;1
Luke;3;m;1
Mats;3;m;1
Milan;3;m;1
Milo;3;m;1
Nick;3;m;1
Niklas;3;m;1
Noel;3;m;1
Philipp;3;m;1
Ruben;3;m;1
Theo;3;m;1
Adrian;2;m;1
Albert;2;m;1
Alexander;2;m;1
Amir;2;m;1
Arvid;2;m;1
Bruno;2;m;1
Caio;2;m;1
Casimir;2;m;1
Charlie;2;m;1
Christoph;2;m;1
David;2;m;1
Denis;2;m;1
Diego;2;m;1
Elyas;2;m;1
Ferdinand;2;m;1
Fiete;2;m;1
Finnley;2;m;1
Gabriel;2;m;1
Hendrik;2;m;1
Jannik;2;m;1
Jannis;2;m;1
Jesko;2;m;1
Joel;2;m;1
Jonah;2;m;1
Joshua;2;m;1
Jurek;2;m;1
Juri;2;m;1
Lasse;2;m;1
Lenny;2;m;1
Leonard;2;m;1
Levin;2;m;1
Lion;2;m;1
Magnus;2;m;1
Mark;2;m;1
Marlon;2;m;1
Martin;2;m;1
Maxim;2;m;1
Miro;2;m;1
Nico;2;m;1
